1 abacus   n. 算盘

1025 drawing program  绘图程序

1026 drift  n. 漂移,漂流物,观望,漂流,吹积物,趋势; v. 漂移,漂流,吹积

1027 drill  n. 钻孔机,钻子,播种机; v. 训练,钻孔

1028 drive  n. 驾车,快车道,推进力,驱使; v. 开车,驱使,驾进力; [计算机] 驱动器; n.路，街

1029 drive bay  驱动器槽

1030 driver  n. 驾驶员,司机

1031 driving  n. 赶,操纵,驾驶; a. 推进的,强劲的,精力旺盛的; vbl. 骑

1032 drop  n. 滴,微量,落下; v. 放下,掉下

1033 drop in  顺便拜访

1034 drop out  退出,退学

1035 drop-down list box  下拉列表框

1036 drop-down menu  下拉菜单

1037 drum  n. 鼓,鼓声; v. 击鼓,作鼓声

1038 drum plotter  鼓式绘图仪

1039 dryer  n. 干衣机,干燥剂

1040 DSP  数字信号处理器

1041 DTP  (desktop publishing)桌面印刷

1042 dual  a. 双重的

1043 dubbing  n. 复制(皮革保护油,油液)，配音

1044 due  n. 应得物; a. 预定的,应付的,到期的,应有的

1045 dumb  a. 无言的,哑的

1046 dummy  n. 傀儡,假人,哑巴; a. 虚拟; [计算机] 伪的

1047 dummy instruction  空指令

1048 dump  n. 垃圾场; v. 倾卸,切断电源,倾倒

1049 duodecimal  十二进位,十二进制的

1050 dupe  n. 受骗的人,上当者; vt. 欺骗,愚弄

1051 duplex running  双工运行

1052 duplicate  n. 副本,复本,复制品; a. 复制的,二重的; v. 复制; [计算机] 复制

1053 duplicate file  复制文件，备份文件

1054 duplicate key  复制键

1055 duplication  n. 副本,复制

1056 duplicator  复印机

1057 durability  n. 持久性(耐久性,耐用年限,寿命)

1058 duration  n. 持续,持久

1059 during  prep. 在...期间

1060 dust guard  防尘罩，防尘设备

1061 DV-I  数字视频交互

1062 dynamic  a. 动态的,有动力的,有力的

1063 each  a. 每个,每,每一; ad. 每个; int. 每个,个人,个自

1064 earth plate  接地板

1065 echo  n. 回声,回音,回波; v. 发回声,随声附和,摹仿; n.[计算机] DOS命令 :禁止(或允许)批处理命令行显示屏幕上

1066 edge  n. 边,边缘,优势; v. 侧身移动,挤进

1067 EDI  电子数据交换

1068 edit  v. 编辑,编校,修订

1069 edit box  编辑框

1070 edit command  编辑命令

1071 edit function  编辑功能

1072 edit key  编辑键

1073 edit line  编辑行

1074 edit pattern  编辑图案

1075 editing  n.编辑

1076 edition  n. 版,版本

1077 editor  n. 编辑,编者

1078 effect  n. 结果,影响,效果; v. 招致,引起,完成

1079 effective  a. 有效的,有影响的

1080 efficiency  a. 有效的,生效的; n. 效率

1081 efficiently  ad. 有效地

1082 eigenvalue  特征值

1083 eject  v. 逐放,放逐,驱逐

1084 elaboration  n. 苦心经营,精巧; n. 详细说明

1085 elapsed  经过

1086 elastic buffer  弹性缓冲区

1087 electron  n. 电子

1088 electron beam  电子束

1089 electronic  a. 电子的; n. [-s]电子学,电子设备

1090 electronic bulletin board  电子公告板

1091 electronic data interchange  电子数据交换

1092 electronic dictionary  电子词典

1093 electronic mail  电子邮件，电子传递

1094 electronic mailbox  电子信箱

1095 electronic publishing  电子出版

1096 electronic pulse  电子脉冲

1097 electronic shopping  电子购物

1098 electronic smog  电子污染

1099 electronic stylus  电子笔

1100 electronics  n. 电子学

1101 element  n. 成分,要素,元素

1102 elementary  a. 初级的,基本的

1103 elevation  n. 海拔,提高; [计算机] 标高

1104 elevator  电梯 或 飞机升降舵

1105 eliminate  v. 除去,排除,剔除; [计算机] 消除

1106 ellipse  n. 椭圆(形
1107 ellipsis  n. 省略

1108 em dash  破折号

1109 e-mail  n. 电子邮件

1110 embed  v. 使插入,使嵌入,深留; [计算机] 嵌入

1111 embedded  a. 植入的,内含的,深入的; v. 埋入,植入,深入; vbl. 埋入,植入,深入

1112 embossment  凸起

1113 emergency button  应急按钮，紧急键

1114 emphasis  n. 强调,重点

1115 emphasize  v. 强调,着重; vt. 强调

1116 empty  n. 空的东西,空物; a. 空的,空虚的,空腹的; v. 倒空,使...空; [计算机] 空的

1117 empty page  空页面

1118 empty record  空记录

1119 empty window  空窗口

1120 emulate  v. 效法,尽力赶上; [计算机] 仿真

1121 emulation  n. 效法,竞争

1122 emulation facility  仿真功能

1123 emulator  仿真器

1124 emulsion  感光乳剂,乳状液

1125 en dash  连字号

1126 enabled  可激活的

1127 encapsulate  v. 装入胶囊,封进内部,压缩

1128 encapsulation  n. 封装,包装

1129 encipher  v. 译成密码

1130 enclose  v. 围绕,放入封套,装; [计算机] 括入

1131 enclosed object  封闭对象

1132 enclosure  n. 附件,围墙,围绕

1133 encode  vt. 编码

1134 encoder  编码器

1135 encounter  n. 意外的相见,遭遇; v. 遇到,偶然碰到,遭遇

1136 encrypt  加密

1137 encryption  加密术

1138 end  n. 结束,终点,目标; v. 结束,终结,终止

1139 End key  结束键

1140 end mark  结束标志，结束符

1141 end of file  (EOF)文件结束

1143 end of line  行结束

1144 end user  n.最终用户

1145 endless loop  死循环

1146 endnote  尾注

1147 end-of-file marker  文件尾标记

1148 endpoint  端点

1149 engine  n. 发动机,引擎,机车,火车头

1150 engineering  n. 工程(学),工程技术

1151 enhanced keyboard  增强键盘

1152 enhanced mode  增强模式

1153 enlarge font  放大字体

1154 enlargement  n. 扩大

1155 enquiry  n. 询问

1156 enroll  v. 登记,使加入

1157 ensure  v. 确定,保证,担保

1158 enter  v. 进入,参加,开始; [计算机] 送入

1159 Enter key  输入键

1160 enterprise  n. 企业,事业

1161 entire  a. 全部的,整个的

1162 entire file  整个文件

1163 entire workbook  整个工作薄

1164 entirely  ad. 完全地

1165 entity  n. 存在,实体

1166 entrance  n. 入口; v. 使出神,使入迷; vt. 使出神

1167 entropy  n. 熵

1168 entry  n. 进入,入口,登记

1169 entry bar  登录栏

1170 enumerate  v. 列举,计算,枚举; [计算机] 枚举

1171 enumerator  计数器

1172 envelope  n. 信封

1173 environ  v. 包围,环绕

1174 environment  n. 环境

1175 environment space  环境空间

1176 environmental  a. 环境的

1177 epilogue  n. 结语,尾声,收场白

1178 epoch   n. (新)纪元,(新)时代

1179 EPROM  可擦可编程只读存储器

1180 equal  n. 对手,匹敌,同辈; a. 相等的,平等的,胜任的; v. 等于,比得上; [计算机] 相等

1181 equal sign  等号

1182 equalization   均衡,均等

1183 equalizer  均衡器

1184 equally  ad. 相等地,同样地,平等地

1185 equation  n. 方程(式),等式

1186 equipment  n. 设备,装备

1187 equipment failure  设备故障

1188 equivalence  n. 相等,等值

1189 equivalent  a. 等价的,相等的; n. 相等物

1190 equivocation  模糊话

1191 eradicate  v. 根除,扑减,根绝

1192 erase  v. 抹去,擦掉; [计算机] 擦除

1193 erase character  擦除符

1194 erase head  清洗磁头

1195 eraser  n. 橡皮擦

1196 eraser tool  擦除工具

1197 ergonomics  人类工程学,人机工程学

1198 erratum  勘误表

1199 error  n. 错误,过失

1200 error box  错误框

1201 error condition  错误状态

1202 error message  出错信息

1203 error recovery  出错恢复

1204 escalation  扩大,增加

1205 escape  n. 逃亡,避难设备; v. 逃脱,避开,溜走; [计算机] 换码

1206 Escape key  换码键

1207 esoteric  a. 秘传的
1208 especially  ad. 特别,尤其

1209 essential  n. 要素,要点; a. 必要的,重要的,本质的

1210 essentially  ad. 本质上,本来

1211 establish  v. 建立,确立,创办

1212 establishment  n. 确立,制定,设施

1213 estimator  估计量

1214 Ethernet  以太网

1215 evaluate  v. 评估,评价

1216 evaluation  n. 估价,评价

1217 evaluation copy  评测版

1218 even  a. 平坦的,偶数的,相等的; ad. 甚至,恰好,正当

1219 even-odd check  奇偶校验

1220 event  n. 大事,事件

1221 event handler  事件处理程序

1222 event ID  事件识别符

1223 event-driven  事件驱动

1224 every  a. 每,每个,每隔...的

1225 evolution   n. 进化,发展,进展

1226 example  n. 榜样,例子

1227 exceed  v. 超过,胜过,越出; vt. 超过,胜过

1228 except  v. 除,除外,反对; prep. 除了...之外,若不是,除非

1229 exception  n. 例外

1230 exceptional emergency  非常紧急情况

1231 excerpt  n. 摘录; v. 摘录,摘要; vt. 摘,引用

1232 exchange  n. 交换,汇兑,交易所; v. 交换,交易,兑换

1233 exchange algorithm  交换算法

1234 exclamation  n. 惊呼,惊叹词

1235 exclude  v. 除外,排除,拒绝; [计算机] 排除

1236 exclusive  a. 独占的,唯一的,排外的; [计算机] 互斥的

1237 executable  可执行的

1238 executable file  可执行文件

1239 executable form  可执行格式

1240 execute  v. 执行,实行,完成; [计算机] 执行

1241 execution  n. 实行,完成,执行

1242 executive  a. 行政的; n. 执行者,主管

1243 exerciser  试验程序

1244 exhaust  n. 排气,排气装置; v. 用尽,耗尽,使...精疲力尽; [计算机] 排除

1245 exist  v. 存在

1246 existing  [计算机] 现有的

1247 exit  n. 出口,退场,离去; v. 退出,脱离

1248 exit find  退出查找

1249 exit point  退出点

1250 expand  v. 使...膨胀,详述,扩张; [计算机] 扩充

1251 expander  扩充器

1252 expanding  扩展的，扩充的

1253 expansion  n. 扩大,膨胀

1254 expansion box  扩展盒

1255 expansion bus  扩展总线

1256 expansion card  扩展卡

1257 expansion slot  扩展槽

1258 expect  v. 预期,盼望,期待

1259 expended memory  扩充内存

1260 expenditure   n. (时间、劳力、金钱等)支出,使用,消耗

1261 expenses  n.开支，花费

1262 experience  n. 经历,经验; v. 经历,体验

1263 experiment  n. 实验,试验,尝试; v. 实验,尝试

1264 experimentation  n. 实验,试验

1265 expert system  专家系统

1266 expertise  n. 专家的意见,专门技术

1267 expiration date  截止日期

1268 expire   v. 期满,失效,终止,断气

1269 explain  解释,说明

1270 explanation  n. 解释,说明

1271 explanatory  a. 解释的,说明的

1272 expletive  a. 填补的(补足的,附加的,多余的); n. 填补物

1273 explicit  a. 明确的,详述的，明晰的,外在的

1274 explicit identification  显式标识

1275 explicit reference  显式引用

1276 explore  v. 探险,探测,探究; [计算机] 探讨

1277 explosion  n. 爆炸,爆发

1278 exponent  n. 说明者,说明物; a. 说明的; n. 指数

1279 exponential  指数的

1280 exponentiation  求幂

1281 export  输出,出口

1282 exporter  n. 出口商

1283 expose  v. 暴露,揭穿,陈列

1284 exposure  n. 暴露,揭露,曝光

1285 express  n. 快车,快递,专使; a. 急速的,明确的; v. 表达,表示

1286 expression  n. 表达,表示,表现,表情,措辞,词句

1287 expression error  表达式错

1288 expunge  v. 擦掉,删掉,除去

1289 extend  v. 扩充,延伸,伸展,扩展

1290 extensible  可扩充的

1291 extension  n. 延长,扩充,范围

1292 extent  n. 广度,宽度,长度,大小,范围,范围,程度; n. [律]<英>扣押, <美>临时所有权令

1293 external  n. 外部; a. 外部的,外用的,客观的,表面的

1294 external command  外部命令

1295 external declaration  外部说明

1296 external memory  外部存储器

1297 external variable  外部变量

1298 extra  a. 额外的; ad. 特别地; n. 额外的事物

1299 extract  n. 榨出物,精汁,选粹; v. 摘录,提取,吸取; [计算机] 提取

1300 extremely  ad. 极其,非常

1301 eyeballing  目测

1302 face  n. 脸,面容; v. 面对,朝,承认; [计算机] 面

1303 facility  n. 设施,设备; n. 灵巧,容易,熟练

1304 facsimile  n. 复写,传真; v. 传真

1305 factor  n. 因素,因子

1306 factorial  阶乘,阶乘的

1307 factoring  n. 因子分解
1308 fade  v. 褪色,消失,凋谢

1309 fade in  淡入

1310 fade out  淡出

1311 fail  v. 失败,不及格,辜负,缺少

1312 failure  n. 失败

1313 failure analysis  故障分析

1314 failure diagnosis  故障诊断

1315 failure testing  故障检测

1316 fall  n. 秋天,落下,瀑布; v. 倒下,落下,来临

1317 fallback  撤退; 后备计划，后备行动

1318 fallout ratio  错检率

1319 false  a. 不真实的,错误的,人造的,假的,虚伪的

1320 false signal  错误信号，假信号

1321 familiar  a. 熟悉的

1322 familiarize  vt. 使熟悉

1323 family  a. 家庭的; n. 家庭

1324 fan-in  扇入

1325 fan-out  扇出

1326 far pointer  远指针

1327 fast  a. 快速的,耐久的,紧的; ad. 很快地,紧紧地,彻底地; n. vi. 禁食, 绝食, 斋戒

1328 fast algorithm  快速算法

1329 fast select  快速选择

1330 fastback  快速返回

1331 fasten  v. 拴紧,使固定,系

1332 fat  a. 肥胖的; n. 脂肪

1333 fatal  a. 致命的,毁灭性的

1334 fatal error  不可恢复错误，致命错误

1335 fatal error message  严重错误信息

1336 father  n. 父亲

1337 father node  父节点

1338 fault  n. 故障,过失,缺点; vt. 挑剔,指责

1339 fault diagnosis  故障诊断

1340 fault signal  故障信号

1341 fault testing  故障测试

1342 fault-tolerance  容错

1343 feature  n. 特征,容貌; n. 特点,特色,特性

1344 feed  n. 饲养,饲料,一餐; v. 喂,饲养,靠...为生

1345 feedback  n. 反馈

1346 feeder  n. 饲养者,供给者,奶瓶

1347 feminine  a. 女性的

1348 ferrite  铁酸盐

1349 ferromagnetic  铁磁体

1350 fetch  n. 取得; v. 接来,取来,带来; [计算机] 取

1351 fetch protection  读取保护

1352 fiber  n. 纤维

1353 fiber-optic cable  光纤电缆

1354 fiche  卡片,缩微胶片

1355 field  a. 野外; n. 地,田地

1356 field name  域名，字段名

1357 field type  字段类型

1358 figure  n. 图形,数字,形状; v. 演算,认为,领会到

1359 file  n. 档案,公文箱,锉刀; v. 列队行进,归档,申请; [计算机] 文件

1360 filename  文件名

1361 filing  n. 锉(文件的整理汇集)

1362 fill  v. 装满,填充,弥漫; [计算机] 填充

1363 filler  填充符

1364 film  n. 电影; v. 把...拍成电影

1365 film recorder  缩微胶卷记录器

1366 filter  n. 筛选,滤波器,过滤器,滤色镜; v. 过滤,渗透,走漏; [计算机] 过滤

1367 final  a. 最后的; n. 决赛

1368 finalization  结束

1369 finally  ad. 最后,最终

1370 financial management  财务管理

1371 find  v. 发现,感觉到,认为

1372 find formatting  查找格式

1373 find what  查找目标

1374 fine  n. 罚款,罚金; a. 美好的,好的,晴朗的,健康的; v. 罚款

1375 fine tune  微调

1376 finish condition  终结条件

1377 finite  a. 有限的

1378 firmware  n. 固件

1379 first  ad. 首先,第一,优先; a. 第一的

1380 first fit  首先满足

1381 first line  首行

1382 fix  v. 使...固定,修理,准备

1383 fixed  a. 固定的,不变的,准备好的; v. 修理,使...固定,决定; vbl. 修理,使...固定,决定; [计算机] 固定的

1384 fixed disk  硬盘

1385 fixed-field file  固定字段文件

1386 fixing  固定,设备,修理

1387 flag  n. 旗标,旗子,信号旗; [计算机] 标志; v.枯萎,减退

1388 flag bit  标记位

1389 flagging  a. 疲惫的,萎靡的

1390 flash  n. 闪光,闪现,一瞬间; v. 闪光,闪现,闪烁; [计算机]Adobe公司的动画技术

1391 flash memory  闪存

1392 flashing  n. 决放,遮雨板,卫水板

1393 flat  a. 平坦的,单调的,扁平的; ad. 平直地,干脆地; n.[英]公寓

1394 flat screen  平面屏幕

1395 flatbed  平板式

1396 flatbed plotter  平板式绘图仪

1397 flatted scanner  平台式扫描仪

1398 flexibility  n. 灵活性,柔韧性

1399 flexible  a. 灵活的,易弯曲的,柔韧的

1400 flexible disk  软磁盘

1401 flicker-free  无闪烁的

1402 flip horizontal  水平翻转

1403 flip-flop  (方向等的)突变;; 触发器;; 夹趾拖鞋。

1404 floating  浮动

1405 flooding  n. 泛滥,产后出血

1406 floor  n. 地板,楼层,底部; v. 铺地板,击倒

1407 floppy  a. 叭塌叭塌响的,懒散的,邋遢 的1408 flow  n. 流,水流,流量; v. 流动; vi. 流,流动; vt. 淹没

1409 flowchart  流程图

1410 fluctuation  n. 波动,起伏

1411 fluidics  应用流体学

1412 flush  n. 流溢,面红,旺盛; a. 丰足的,齐平的,满盈的; v. 脸发红,淹没,旺盛; [计算机] 冲洗

1413 flutter  n. 摆动,鼓翼,烦扰; v. 摆动,鼓翼,烦扰

1414 flyback  回扫

1415 FM  n. 磁极(现场干线,现场更改,消防干管,外国使团)

1416 FM synthesizer  FM合成器

1417 focus  n. 焦点,焦距; v. 集中,聚集,使集中

1418 focus window  焦点窗口

1419 fold  n. 折层,羊栏,折痕; v. 折叠,包,交叉

1420 folder  n. 文件夹

1421 folding  可折叠的

1422 folio  编页码,对开本,页码,张数

1423 follower  n. 从者,属下,追补者

1424 following  n. 下列各项,部下,党羽; a. 下列的,其次的; vbl. 跟随

1425 font  字体

1426 font disk  字体盘

1427 foot  n. 脚

1428 footer  页脚

1429 footnote  n. 脚注(给...作脚注)

1430 for  conj. 因为; prep. 给,为

1431 for clause  循环子句

1432 for data  循环数据

1433 forbidden  a. 被禁止的

1434 forbidden character  禁用字符，非法字符

1435 force  n. 力量,武力,影响力; v. 强迫,强夺,加压力; [计算机] 强制

1436 forced  a. 被迫的,强迫的,用力的; v. 强迫; vbl. 强迫

1437 forecast  预测,预报

1438 foreground  n. 前景,最显著的位置; n.[计算机]前台; [计算机] 前景

1439 forget  v. 忘记,忽略

1440 fork  n. 叉; v. 叉起,耙,成叉状

1441 for-loop  循环

1442 for-loop structure  循环结构

1443 form  n. 形式,形状,表格; v. 形成,组成,建立

1444 format   n. 设计,版式; n.[计算机]格式,DOS命令 : 格式化(磁盘),用于空盘或使用过的磁盘建立新空盘来存储数据; v. vt.使格式化,设计,安排

1445 formation  n. 构造,编队,形成

1446 formatted  有格式的

1447 formatting  格式化

1448 formed  成形的

1449 formula  n. 公式,配方,规则；婴儿食品

1450 formulate  v. 用公式表示,明确的叙述

1451 fortuitous  a. 偶然的,意外的

1452 forward  a. 向前的,早的,迅速的,前锋; v. 转交,促进,运送; ad. 向前地

1453 forward direction  正向

1454 foundation  n. 基础,根据,建立

1455 fourscore  a. 八十的,八十个的; n. 八十,八十个,八十岁

1456 fps  frames per second 帧数

1457 fractal  分形

1458 fraction  n. 分数,小部分,破片

1459 fragment  n. 碎片,破片,断片; [计算机] 碎片

1460 fragmentation  分裂,破碎,存储残片

1461 fragmenting  分割

1462 frame  n. 框,结构,骨架; v. 构成,设计,陷害

1463 framework  n. 结构,构架,框架

1464 framing  成帧

1465 franking  打印标记

1466 free  a. 自由的,大方的,免费的; v. 释放,解放; ad. 自由地,免费

1467 freeware  免费软件

1468 freeze  v. 冻结,冷动,僵硬; [计算机] 冻结

1469 freight  n. 船货,运费,货运; v. 装货,运送

1470 frequency  n.&a. 频繁,频率

1471 frequently  ad. 经常地,频繁地

1472 fresh copy  最新副本

1473 from  prep. 从,从...起

1474 front  n. 前面,开头,前线; v. 面对,朝向,对付

1475 front edge  前沿

1476 frustum  截头锥体

1477 full  n. 全部,十分; a. 充满的,完全的,丰富的; ad. 完全地,整整; [计算机] 全

1478 full-screen  全屏幕

1479 fully  ad. 十分地,完全地,全

1480 function  n. 功能,函数,重大聚会; vi. 运行,起作用

1481 functional  a. 功能的

1482 fuse  n. 保险丝; v. 融化,融合

1483 fusing  熔化，点火，发射，起动

1484 fuzzy logic  模糊逻辑

1485 fuzzy theory  模糊论

1486 g  giga 千兆

1487 gain  n. 增益,获得,利润; v. 得到,增进,获利

1488 galleries  图表种类

1489 gallery  n. 美术馆,画廊

1490 gallium arsenide  砷化镓

1491 game  n. 游戏; vi. 赌博

1492 gap  n. (意见、个性等的)差异,缝隙,漏洞,缺口; 嘉普(财富500强公司之一，总部所在地美国,主要经营服装零售)

1493 garbage  n. 垃圾

1494 gate  n. 大门

1495 gateway  n. 门,通路; [计算机] 网间连接器

1496 gather  n. 集合,聚集; v. 聚集,集合,渐增; vt. 使聚集，推断

1497 general  n. 一般,将军,大体; a. 一般的,普遍的; v. 指挥,作...将军

1498 generate  v. 产生,发生; [计算机] 产生

1499 generator  n. 发电机,发生器

1500 generic  a.一般的,普通的,共有的

1501 get colors  选取颜色

1502 ghost  n. 鬼,幽灵

1503 Ghz  gigahertz千兆赫兹

1504 GIF  图形接口格式

1505 giga  千兆

1506 gigabyte  n. 十亿位元组

1507 gigacycle  千兆周

1508 glance  n. 一瞥,闪光,一滑; v. 瞥闪,瞥见,反光

1509 glare  n. 闪耀光,刺眼; v. 发眩光,瞪视

1510 glare filter  炫光过滤器

1511 glitch  小故障,小失误

1512 global  a. 全球性的,全局的

1513 glossary  n. 字典,辞典; [计算机] 词汇表

1514 glyph  字型,字的轮廓

1515 go  v. 去,走; [计算机] 执行

1516 goal  n. 目标,终点; n.球门;得分

1517 goto  转到

1518 GOTO statement  转向语句

1519 grab  n. 抓握,接应,掠夺; v. 抓取,抢去

1520 grabber  抓帧器

1521 gradation  灰度,浓淡度,渐变,过度

1522 grammar  n. 语法

1523 grant  n.拨款; vt.授予,同意,承认

1524 grantee  接受者

1525 grantor   授予者

1526 graph  n. 图表,曲线图; v. 图表,用图表表示; vt. 以(曲线)图表示

1527 graphic  a. 生动的,图表的

1528 graphic cursor  图形光标

1529 graphically  用图表表示

1530 graphics  n. 制图法,制图学,图表算法; n.[计算机]图形学,DOS命令 : 允许使用Shift-PtrSc键打印屏幕图形

1532 grave  a. 严肃的,庄重的,严重的; n. 坟墓

1533 gravity  n. 地心引力,重力,严重,庄重,严肃

1534 gray scale  灰度

1535 Greek  a. 希腊(人)的; n. 希腊人,希腊语

1536 Green Book  绿皮书

1537 grey scale  灰度

1538 grid  n. 格子; [计算机] 网格

1540 gridlines  网格线

1541 groove  n. 凹槽,惯例

1542 ground  n. 土地,战场,场地; a. 土地的,地面上的; v. 放在地上,使...搁浅,打基础

1543 grounding  接地,染色的底色

1544 group  n. 团体,组,团; v. 聚合,成群; [计算机] 成组

1545 growth  n. 增长

1546 guess  n. 猜测,推测,猜想; v. 猜测,推测

1547 gui  图形用户界面

1548 guide  n. 引导者,指南,路标; v. 指导,支配,管理

1549 guide line  准则

1550 guideline  n. 指引

1551 hacker  电脑黑客

1552 hairline rule  细线

1553 half  a. 一半的,不完全的; ad. 一半地; n. 半,一半

1554 halftone  半音,中间色调,网板

1555 half-word  半字

1556 halt  n. 停止,立定,休息; v. 使...停止,使...立定,犹豫

1557 halt command  停机命令

1558 halt mode  停机状态

1559 hand  n. 手,掌握,协助; v. 支持,交给

1560 handbook  n. 手册,指南

1561 handle  n. 柄,把手; v. 买卖,处理,操作

1562 handler  处理程序

1563 handling  n. 处理; a. 操作的; vbl. 操作; [计算机] 处理

1564 handset  电话听筒,手机,手持机

1565 handshaking  握手

1566 handwriting recognition  手写识别

1567 handy  a. 方便的,手边的

1568 hang  n. 悬挂,吊死; v. (hanged,hanged) 悬挂,绞死,逗留

1569 hangup  挂断

1570 hard  a. 硬的; ad. 努力地

1571 hard copy  硬拷贝

1572 hard disk  硬盘

1573 hard disk partition  硬盘分区

1574 hard drive  硬盘驱动器

1575 hard reset  硬重置

1576 harmonic  a. 调和的,音乐般的,和声的; n. 和音,调波; [计算机] 调和的

1577 hash code  散列码，无用信息

1578 hashing  散列法

1579 hashing function  散列函数

1580 HDTV  (high-definition TV)高清晰度电视

1581 head  n. 头,头脑,领袖; v. 为首,朝向,前进

1582 head alignment  磁头对准

1583 head of form  表头

1584 header  页眉,标题,报头,电子邮件头

1585 headers  消息头

1586 heading  n. 标题

1587 headphone  n. 戴在头上的收话器,双耳式耳机

1588 heap  n. 堆,许多,累积; v. 堆积; [计算机] 堆

1589 helical scan  螺旋扫描

1590 help  n. 帮助,援助; v. 帮助

1591 help index  帮助索引

1592 help information  帮助信息

1593 help key  帮助键

1594 help options  帮助选项

1595 help screen  帮助屏幕

1596 helper  n. 帮忙者,助手

1597 hertz  赫兹

1598 heterogeneous  a. 异种的,异质的,由不同成份形成的; [计算机] 非均匀的

1599 heuristic  试探的,启发式的

1600 hex  十六进制

1601 Hi-8  使用8mm宽磁带的录像带格式

1602 hidden  a. 隐藏的,秘密的; vbl. 藏着,隐藏,躲藏; [计算机] 隐藏的

1603 hide  v. 藏,隐瞒,遮避; n. 兽皮

1604 hide all  全部隐藏

1605 hierarchical  分层的,体系的

1606 hierarchy  n. 等级制度，层级[计]

1607 high  a.&ad. 高，高度的，高级的，高尚的; (=High School) 高中,中学

1608 high capacity  大容量

1609 high-end  高端
1610 highlight  n. 加亮区; v. 加亮,强调; [计算机] 醒目

1611 highlighting  加亮

1612 high-speed transmission  高速传输

1613 hiragana  平假名

1614 histogram  n. 柱状图; [计算机] 直方图

1615 history  n. 历史

1616 hit  n. 打击,打,冲撞,偶然发现; v. 打,打击,碰撞

1617 hits  采样数

1618 hold  v. 握住,拿着,持有; n. 把握,控制,船舱

1619 hole  n. 孔,洞,穴; v. 挖洞,掘坑,进洞

1620 holiday  n. 假期,假日

1621 hologram  全息照相,全息图

1622 home  a. 家(乡)的; ad. 回家,在家; n. 家

1623 homogeneous  a. 同种的,同质的,均质的

1624 homologate  认可,确认

1625 hook  n. 钩子; v. 钩住

1626 horizontal  a. 水平的,横的; n. 水平线,水平面

1627 horizontally  ad. 水平地(水平的)

1628 host  n. 主机,主人,主持人,东道主.; v.主持,做东.

1629 hot key  热键

1630 hot link  热点连接

1631 hotspot  热点，热区

1632 hourglass  n. 时漏,砂漏,水漏

1633 house  n. 房子,住宅

1634 housekeeping  n. 家事,家政,持家

1635 housing  n. 房屋(外壳,外套,外罩,住宅,卡箍,遮盖物)

1636 how  ad. 怎样; conj. 如何

1637 HP  惠普

1638 HTML  超文本置标语言

1639 hub  n. 毂,木片,中心

1640 hue  n. 色,色彩,叫声; [计算机] 色调

1641 Huffman encoding  哈夫曼编码

1642 huge model  巨模式

1643 human  a. 人的,人类的; n. 人

1644 human-computer  人机

1645 humidity  n. 湿度,湿气

1646 hunting  n. 打猎

1647 hybrid  n. 混血儿,杂种,混合物; a. 混合的,杂种的,混合语的

1648 hybrid software  混合软件

1649 hyperbola  双曲线

1650 hyperlink  超链接（Hyperlink）是WWW上使用最多的一种技巧，它通过事先定义好的关键字或图形，只要你用鼠标点击该段文字或图形，就可以自动连上相对应的其它文件。通过这种方式，就可以实现不同网页间的跳转问题。

1651 hypermedia  超媒体

1652 hypertext  超文本

1653 hyphen  n. 连字号; v. 以连字号连接

1654 hyphenation  用连字符号连接,断字

1655 I/O  (input/output)输入/输出

1656 I-beam  I型光标

1657 IBM  缩写 = International Business Machines 国际商用机器公司（一家大型计算机公司）

1658 IC  (integrated circuit)集成电路

1659 icon  n. 圣像,画像,肖像; n. [计算机] 图标,图符

1660 icon resource  图标资源

1661 ID code  标识码，识别码

1662 idempotent  幂等,幂等的

1663 identical  a. 相同的,同一的

1664 identically  相等地

1665 identification  n. 身份的证明; n. 视为同一,证明同一,确认

1666 identification code  识别代号

1667 identifier   (ID)标识符

1668 identifier attribute  标识符属性

1669 identify  v. 识别,认明,鉴定

1670 idle  a. 懒惰的,闲散的,停顿的; v. 不作事,闲散,浪费,(机器)空转

1671 idle character  空字符，无效字符

1672 if  conj. 如果; n. 条件,设想

1673 if-expression  如果表达式

